Year,Demographic,Urbanization,Trips,Travel distance,Travel time
2021,Age: 25 to 34 years,Strongly urbanised,930,12693,433.5
2021,Age: 25 to 34 years,Moderately urbanised,1018,12627,434.7
2021,Age: 25 to 34 years,Hardly urbanised,1049,13402,429.5
2021,Age: 25 to 34 years,Not urbanised,1088,13165,414.4
2021,Age: 35 to 49 years,The Netherlands,1039,11258,436.0
2021,Age: 35 to 49 years,Extremely urbanised,937,9018,443.4
2021,Age: 35 to 49 years,Strongly urbanised,1051,11073,430.4
2021,Age: 35 to 49 years,Moderately urbanised,1108,12249,434.2
2021,Age: 35 to 49 years,Hardly urbanised,1097,12981,436.0
2021,Age: 35 to 49 years,Not urbanised,1072,13908,436.2
2021,Age: 50 to 64 years,The Netherlands,964,11745,457.0
2021,Age: 50 to 64 years,Extremely urbanised,916,9306,459.4
2021,Age: 50 to 64 years,Strongly urbanised,968,11628,449.4
2021,Age: 50 to 64 years,Moderately urbanised,980,11968,441.1
2021,Age: 50 to 64 years,Hardly urbanised,1003,12854,461.5
2021,Age: 50 to 64 years,Not urbanised,944,15229,495.7
2021,Age: 65 to 74 years,The Netherlands,843,8843,440.8
2021,Age: 65 to 74 years,Extremely urbanised,813,7514,440.7
2021,Age: 65 to 74 years,Strongly urbanised,840,8496,418.3
2021,Age: 65 to 74 years,Moderately urbanised,891,9392,463.5
2021,Age: 65 to 74 years,Hardly urbanised,854,9662,451.9
2021,Age: 65 to 74 years,Not urbanised,810,9874,445.6
2021,Age: 75 years or older,The Netherlands,592,5222,294.3
2021,Age: 75 years or older,Extremely urbanised,550,4319,283.0
2021,Age: 75 years or older,Strongly urbanised,607,4685,283.8
2021,Age: 75 years or older,Moderately urbanised,627,5413,302.5
2021,Age: 75 years or older,Hardly urbanised,590,6147,310.0
2021,Age: 75 years or older,Not urbanised,578,6065,294.3
2021,Equivalised income: 1st 20%-group,The Netherlands,756,6861,374.5
2021,Equivalised income: 1st 20%-group,Extremely urbanised,721,6636,393.5
2021,Equivalised income: 1st 20%-group,Strongly urbanised,776,6384,359.4
2021,Equivalised income: 1st 20%-group,Moderately urbanised,742,6782,334.4
2021,Equivalised income: 1st 20%-group,Hardly urbanised,796,7904,390.3
2021,Equivalised income: 1st 20%-group,Not urbanised,787,7894,358.5
2021,Equivalised income: 2nd 20%-group,The Netherlands,832,8023,389.4
2021,Equivalised income: 2nd 20%-group,Extremely urbanised,782,6839,415.2
2021,Equivalised income: 2nd 20%-group,Strongly urbanised,848,7798,379.6
2021,Equivalised income: 2nd 20%-group,Moderately urbanised,854,8406,376.1
2021,Equivalised income: 2nd 20%-group,Hardly urbanised,840,8483,381.4
2021,Equivalised income: 2nd 20%-group,Not urbanised,859,10720,393.3
2021,Equivalised income: 3rd 20%-group,The Netherlands,946,9919,428.2
2021,Equivalised income: 3rd 20%-group,Extremely urbanised,888,8298,427.3
2021,Equivalised income: 3rd 20%-group,Strongly urbanised,932,9783,423.3
2021,Equivalised income: 3rd 20%-group,Moderately urbanised,998,10006,424.2
2021,Equivalised income: 3rd 20%-group,Hardly urbanised,987,10980,430.0
2021,Equivalised income: 3rd 20%-group,Not urbanised,936,11500,451.8
2021,Equivalised income: 4th 20%-group,The Netherlands,997,11023,445.0
2021,Equivalised income: 4th 20%-group,Extremely urbanised,944,9255,449.4
2021,Equivalised income: 4th 20%-group,Strongly urbanised,992,11438,440.9
2021,Equivalised income: 4th 20%-group,Moderately urbanised,1032,10789,440.1
2021,Equivalised income: 4th 20%-group,Hardly urbanised,1015,11337,436.4
2021,Equivalised income: 4th 20%-group,Not urbanised,1024,13417,484.2
2021,Equivalised income: 5th 20%-group,The Netherlands,990,12451,460.3
2021,Equivalised income: 5th 20%-group,Extremely urbanised,965,10978,470.9
2021,Equivalised income: 5th 20%-group,Strongly urbanised,1001,12326,456.6
2021,Equivalised income: 5th 20%-group,Moderately urbanised,1004,12485,454.0
2021,Equivalised income: 5th 20%-group,Hardly urbanised,1009,13763,460.5
2021,Equivalised income: 5th 20%-group,Not urbanised,937,13992,452.3
2021,Driver's license pass. car in own name,The Netherlands,984,12399,450.4
2021,Driver's license pass. car in own name,Extremely urbanised,946,10883,453.6
2021,Driver's license pass. car in own name,Strongly urbanised,989,12059,444.7
2021,Driver's license pass. car in own name,Moderately urbanised,1008,12245,444.7
2021,Driver's license pass. car in own name,Hardly urbanised,990,13152,449.4
2021,Driver's license pass. car in own name,Not urbanised,982,15007,477.3
2021,Driver's license passenger car in hh,The Netherlands,998,11616,449.7
2021,Driver's license passenger car in hh,Extremely urbanised,987,10914,468.4
2021,Driver's license passenger car in hh,Strongly urbanised,990,11791,442.6
2021,Driver's license passenger car in hh,Moderately urbanised,1022,11633,448.7
2021,Driver's license passenger car in hh,Hardly urbanised,1019,11865,451.8
2021,Driver's license passenger car in hh,Not urbanised,947,11912,426.2
2021,Driver's license no passenger car in hh,The Netherlands,909,8604,442.1
2021,Driver's license no passenger car in hh,Extremely urbanised,893,8455,467.3
2021,Driver's license no passenger car in hh,Strongly urbanised,928,8760,422.3
2021,Driver's license no passenger car in hh,Moderately urbanised,984,8693,431.7
2021,Driver's license no passenger car in hh,Hardly urbanised,925,9586,427.3
2021,Driver's license no passenger car in hh,Not urbanised,770,6107,299.8
2021,"No driver's license, 17 years or older",The Netherlands,646,5862,350.3
2021,"No driver's license, 17 years or older",Extremely urbanised,643,5500,378.0
2021,"No driver's license, 17 years or older",Strongly urbanised,662,6187,341.9
2021,"No driver's license, 17 years or older",Moderately urbanised,626,6032,318.0
2021,"No driver's license, 17 years or older",Hardly urbanised,636,5974,320.0
2021,"No driver's license, 17 years or older",Not urbanised,639,5992,345.9
2022,Total persons,The Netherlands,984,11027,442.2
2022,Total persons,Extremely urbanised,918,9287,442.9
2022,Total persons,Strongly urbanised,993,11128,441.0
2022,Total persons,Moderately urbanised,1032,11416,450.0
2022,Total persons,Hardly urbanised,1022,12308,441.1
2022,Total persons,Not urbanised,967,12312,429.8
2022,Age: 18 to 24 years,The Netherlands,934,12476,471.4
2022,Age: 18 to 24 years,Extremely urbanised,896,10259,459.7
2022,Age: 18 to 24 years,Strongly urbanised,908,11552,453.7
2022,Age: 18 to 24 years,Moderately urbanised,1002,13669,499.4
2022,Age: 18 to 24 years,Hardly urbanised,982,15183,479.7
2022,Age: 18 to 24 years,Not urbanised,946,17161,524.2
2022,Age: 25 to 34 years,The Netherlands,992,13327,464.8
2022,Age: 25 to 34 years,Extremely urbanised,903,11523,476.5
2022,Age: 25 to 34 years,Strongly urbanised,1016,14598,474.3
2022,Age: 25 to 34 years,Moderately urbanised,1010,12649,447.9
2022,Age: 25 to 34 years,Hardly urbanised,1095,15504,447.7
2022,Age: 25 to 34 years,Not urbanised,1102,13680,427.9
2022,Age: 35 to 49 years,The Netherlands,1119,12909,460.3
2022,Age: 35 to 49 years,Extremely urbanised,1021,10795,477.0
2022,Age: 35 to 49 years,Strongly urbanised,1120,13039,450.4
2022,Age: 35 to 49 years,Moderately urbanised,1200,13639,474.7
2022,Age: 35 to 49 years,Hardly urbanised,1185,14558,450.9
2022,Age: 35 to 49 years,Not urbanised,1134,14384,428.8
2022,Age: 50 to 64 years,The Netherlands,1037,12841,475.4
2022,Age: 50 to 64 years,Extremely urbanised,959,9746,457.0
2022,Age: 50 to 64 years,Strongly urbanised,1054,12973,486.4
2022,Age: 50 to 64 years,Moderately urbanised,1104,14316,497.8
2022,Age: 50 to 64 years,Hardly urbanised,1059,14163,475.2
2022,Age: 50 to 64 years,Not urbanised,983,14269,438.9
2022,Age: 65 to 74 years,The Netherlands,925,9761,458.1
2022,Age: 65 to 74 years,Extremely urbanised,887,7944,441.4
2022,Age: 65 to 74 years,Strongly urbanised,938,9903,457.9
2022,Age: 65 to 74 years,Moderately urbanised,955,9603,466.6
2022,Age: 65 to 74 years,Hardly urbanised,938,10796,468.3
2022,Age: 65 to 74 years,Not urbanised,875,11157,453.2
2022,Age: 75 years or older,The Netherlands,658,5955,316.8
2022,Age: 75 years or older,Extremely urbanised,641,4871,316.4
2022,Age: 75 years or older,Strongly urbanised,681,6027,312.9
2022,Age: 75 years or older,Moderately urbanised,674,6126,316.8
2022,Age: 75 years or older,Hardly urbanised,651,6249,321.3
2022,Age: 75 years or older,Not urbanised,609,7127,318.2
2022,Equivalised income: 1st 20%-group,The Netherlands,823,8009,417.2
2022,Equivalised income: 1st 20%-group,Extremely urbanised,779,6981,403.9
2022,Equivalised income: 1st 20%-group,Strongly urbanised,854,8188,425.6
2022,Equivalised income: 1st 20%-group,Moderately urbanised,834,8608,429.5
2022,Equivalised income: 1st 20%-group,Hardly urbanised,892,9238,430.2
2022,Equivalised income: 1st 20%-group,Not urbanised,727,9089,396.0
2022,Equivalised income: 2nd 20%-group,The Netherlands,892,8733,403.1
2022,Equivalised income: 2nd 20%-group,Extremely urbanised,857,7405,412.2
2022,Equivalised income: 2nd 20%-group,Strongly urbanised,917,9239,418.8
2022,Equivalised income: 2nd 20%-group,Moderately urbanised,886,8756,391.3
2022,Equivalised income: 2nd 20%-group,Hardly urbanised,892,9306,383.1
2022,Equivalised income: 2nd 20%-group,Not urbanised,921,9345,390.6
2022,Equivalised income: 3rd 20%-group,The Netherlands,1028,10650,438.2
2022,Equivalised income: 3rd 20%-group,Extremely urbanised,965,9424,448.2
2022,Equivalised income: 3rd 20%-group,Strongly urbanised,1014,10543,428.4
2022,Equivalised income: 3rd 20%-group,Moderately urbanised,1111,10016,447.3
2022,Equivalised income: 3rd 20%-group,Hardly urbanised,1051,12137,442.4
2022,Equivalised income: 3rd 20%-group,Not urbanised,1017,11457,417.6
2022,Equivalised income: 4th 20%-group,The Netherlands,1064,12338,458.4
2022,Equivalised income: 4th 20%-group,Extremely urbanised,1036,10794,472.4
2022,Equivalised income: 4th 20%-group,Strongly urbanised,1054,12166,450.4
2022,Equivalised income: 4th 20%-group,Moderately urbanised,1089,12761,456.9
2022,Equivalised income: 4th 20%-group,Hardly urbanised,1100,13259,459.9
